node;value;;;;
BAD;0;;;;
BAX;1;;;;
BCL2_M2_macrophage_mitochondrion_membrane;1;;;;
BCL2L1;1;;;;
BCL3_rna;1;;;;
Bim;1;;;;
C_EBPb_phosphorylated;1;;;;
c_Myc_rna;1;;;;
c5a;1;;;;
C5a_C5aR1_complex;1;;;;
Casp1;1;;;;
CASP3;0;;;;
CASP7;1;;;;
CCl21;1;;;;
CD32a;1;;;;
cFLIP;1;;;;
cMyc;1;;;;
CREB1_phosphorylated;0;;;;
CSF1_M2_macrophage__secreted_components;1;;;;
CSF1R;1;;;;
CXCR1_IL8_complex;1;;;;
CYLD;1;;;;
DUSP1;1;;;;
EFNB1_EPHB1_complex;1;;;;
ERK1_phosphorylated_M2_macrophage__cytoplasm;1;;;;
ERK1_phosphorylated_M2_macrophage_nucleus;1;;;;
FAS;1;;;;
GNAI3;1;;;;
GNB_GNG_GNAI3_complex;1;;;;
HBGEF;1;;;;
HCK;1;;;;
HLA_B_LILRB1_complex;1;;;;
HRAS;1;;;;
IL10_M2_macrophage__extracellular_space;1;;;;
IL10_M2_macrophage__secreted_components;1;;;;
IL10R1_IL10R2_IL10_complex;1;;;;
IL11Ra_IL6ST_IL11_complex;1;;;;
IL17Ra_IL17Rc_IL17F_complex;1;;;;
IL23_M2_macrophage__extracellular_space;1;;;;
IL23_M2_macrophage__secreted_components;1;;;;
IL23R_IL12RB1_complex;1;;;;
IL34;1;;;;
IL4;1;;;;
IL4_IL4Ra_complex;1;;;;
immune_complex_CD16a_complex;1;;;;
immune_complex_CD32a_complex;1;;;;
immune_complex_CD32b_complex;1;;;;
immune_complex_CD64_complex;1;;;;
JAK1_TYK2_complex;1;;;;
JAK2;1;;;;
klf4;1;;;;
LIFR_IL6ST_CTF1_complex;1;;;;
mcl1;1;;;;
Mcl1_rna;1;;;;
MDM2_phosphorylated;0;;;;
MEK1_phosphorylated;1;;;;
MEK2_phosphorylated;1;;;;
MKK3_phosphorylated;1;;;;
MKK6_phosphorylated;1;;;;
NFAT5_phosphorylated;1;;;;
NFKB1_TPL2_complex;1;;;;
NFKBIA_RELA_NFKB1_complex;1;;;;
NLRP3;1;;;;
p38_MAP_KINASE_phosphorylated_M2_macrophage__cytoplasm;0;;;;
p38_MAP_KINASE_phosphorylated_M2_macrophage_nucleus;0;;;;
PLCG2;1;;;;
PRKCD;1;;;;
PRKCQ;1;;;;
PRL_PRLR_complex;0;;;;
PTK2;1;;;;
PTPN6;1;;;;
RAF1;1;;;;
RELA_NFKB1_NFKBIE_complex;1;;;;
RXRa_NUR77_complex;1;;;;
SH2D1A;1;;;;
Shc_phosphorylated;1;;;;
Sirt1;0;;;;
SMAD2_phosphorylated;0;;;;
SMAD2_SMAD4_complex;0;;;;
SMAD7;1;;;;
SOS1;1;;;;
STAT3;1;;;;
STAT6;1;;;;
SYK;0;;;;
TGFB1_M2_macrophage__extracellular_space;1;;;;
TGFBR1_TGFBR2_complex;1;;;;
TGFBR1_TGFBR2_TGFB1_complex;1;;;;
TRAF6_ubiquitinated;0;;;;
VEGFa_M2_macrophage__extracellular_space;1;;;;
Vegfa_rna;1;;;;
Vegfb_M2_macrophage__extracellular_space;0;;;;
VegfR2_vegfc_nrp2_complex;0;;;;
XIAP;1;;;;1
